utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
13,THV,Vietnamese,80,40.0,120.0,237,0.35016366839408875,0.8486574292182922,0.8380945012840335,0.39301085472106934,0.3403310775756836,0.3377218544483185
13,THV,Vietnamese,160,40.0,200.0,237,0.24153071641921997,0.5658870339393616,0.8956573471976015,0.30051204562187195,0.22745178639888763,0.2252124696969986
13,THV,Vietnamese,320,40.0,360.0,237,0.18683978915214539,0.4637773633003235,0.914945360146582,0.26434561610221863,0.15979860723018646,0.17809464037418365
13,THV,Vietnamese,640,40.0,680.0,237,0.1497175395488739,0.5060532689094543,0.927287990379374,0.23957031965255737,0.1157861053943634,0.143419086933136
14,RRBI,Hindi,0,40.0,40.0,123,0.5167100429534912,0.8031715154647827,0.73870841354265,0.4083935618400574,0.5485339164733887,0.538263201713562
14,RRBI,Hindi,20,40.0,60.0,123,0.4514261782169342,0.7320823073387146,0.7917450675878966,0.3468930423259735,0.47663766145706177,0.48020291328430176
14,RRBI,Hindi,40,40.0,80.0,123,0.4163888990879059,0.7106319069862366,0.8147099705496843,0.33973485231399536,0.4334389269351959,0.43957528471946716
14,RRBI,Hindi,80,40.0,120.0,123,0.3636588752269745,0.6692699193954468,0.8428110445073888,0.2594859004020691,0.3822494149208069,0.4018106460571289
14,RRBI,Hindi,160,40.0,200.0,123,0.28987470269203186,0.4968652129173279,0.8709218365711248,0.21366387605667114,0.2991214394569397,0.3240986466407776
14,RRBI,Hindi,320,40.0,360.0,123,0.20242254436016083,0.3584979474544525,0.9280138144864564,0.1517362892627716,0.20309530198574066,0.2331259548664093
14,RRBI,Hindi,640,40.0,680.0,123,0.13260798156261444,0.22604168951511383,0.9553095262798451,0.09820125252008438,0.142181858420372,0.14023002982139587
15,HQTV,Vietnamese,0,40.0,40.0,191,0.44753026962280273,0.7968239188194275,0.7994867464912465,0.35915300250053406,0.4438222050666809,0.5051608085632324
15,HQTV,Vietnamese,20,40.0,60.0,191,0.3600131869316101,0.7122461795806885,0.8515190157156152,0.28445833921432495,0.3684561550617218,0.39313286542892456
15,HQTV,Vietnamese,40,40.0,80.0,191,0.29964369535446167,0.6424612998962402,0.8743338100248887,0.2737295925617218,0.28672388195991516,0.33299681544303894
15,HQTV,Vietnamese,80,40.0,120.0,191,0.2531047463417053,0.5628552436828613,0.8981426560853654,0.25757893919944763,0.22828665375709534,0.2849608063697815
15,HQTV,Vietnamese,160,40.0,200.0,191,0.19826124608516693,0.4733288586139679,0.9306158537806497,0.19392599165439606,0.17852887511253357,0.22827568650245667
15,HQTV,Vietnamese,320,40.0,360.0,191,0.153839111328125,0.390635222196579,0.9429091528171717,0.18667487800121307,0.12775811553001404,0.17061178386211395
15,HQTV,Vietnamese,640,40.0,680.0,191,0.1005091443657875,0.25692906975746155,0.966527399010254,0.11525370180606842,0.08346682041883469,0.1154540628194809
16,ZHAA,Arabic,0,40.0,40.0,172,0.5561414361000061,0.8694899082183838,0.7699591642749112,0.5280588865280151,0.597780168056488,0.5303284525871277
16,ZHAA,Arabic,20,40.0,60.0,172,0.4611937999725342,0.7874014973640442,0.8138681142541393,0.4874553084373474,0.47692787647247314,0.4330032765865326
16,ZHAA,Arabic,40,40.0,80.0,172,0.40484628081321716,0.7627353072166443,0.840500790783159,0.4663442373275757,0.4184925854206085,0.3610357940196991
16,ZHAA,Arabic,80,40.0,120.0,172,0.3266783654689789,0.7264420986175537,0.8625348187572786,0.377265602350235,0.3295800983905792,0.29860737919807434
16,ZHAA,Arabic,160,40.0,200.0,172,0.2257685512304306,0.632561206817627,0.9100003069108183,0.3163071870803833,0.2268393635749817,0.17947426438331604
16,ZHAA,Arabic,320,40.0,360.0,172,0.12860383093357086,0.3212854266166687,0.9433983830042308,0.23006215691566467,0.11016932874917984,0.09551912546157837
16,ZHAA,Arabic,640,40.0,680.0,172,0.08282500505447388,0.1885286122560501,0.9645507194300915,0.15437957644462585,0.06110372021794319,0.06783811748027802
17,ERMS,Spanish,0,40.0,40.0,66,0.5653641223907471,0.9909061193466187,0.8076830762427556,0.7208623886108398,0.5064064264297485,0.5543752312660217
17,ERMS,Spanish,20,40.0,60.0,66,0.4858834743499756,0.8359448313713074,0.8293517099855604,0.6514734029769897,0.45461976528167725,0.4330679774284363
17,ERMS,Spanish,40,40.0,80.0,66,0.44309109449386597,0.8316171765327454,0.8433275544738319,0.5587198734283447,0.42394912242889404,0.4027036130428314
17,ERMS,Spanish,80,40.0,120.0,66,0.3239487111568451,0.6811342239379883,0.8925329535819388,0.44209569692611694,0.289187490940094,0.30251070857048035
17,ERMS,Spanish,160,40.0,200.0,66,0.28906163573265076,0.6738777160644531,0.9166157227515468,0.4099896252155304,0.24552541971206665,0.27749738097190857
17,ERMS,Spanish,320,40.0,360.0,66,0.19510683417320251,0.5577916502952576,0.9493886185496795,0.3596816062927246,0.14562194049358368,0.1666318029165268
17,ERMS,Spanish,640,40.0,680.0,66,0.055653154850006104,0.15690992772579193,0.9894282198542592,0.11197725683450699,0.04312115162611008,0.040163882076740265
18,ERMS,Spanish,0,40.0,40.0,164,0.47774216532707214,0.7578408718109131,0.7566855500545788,0.49311208724975586,0.4636714458465576,0.48557406663894653
18,ERMS,Spanish,20,40.0,60.0,164,0.3932996988296509,0.640299379825592,0.8094143935303546,0.4504307210445404,0.3663948178291321,0.3932672441005707
18,ERMS,Spanish,40,40.0,80.0,164,0.3528653681278229,0.6486760377883911,0.8242560390685071,0.4420778453350067,0.31930819153785706,0.343111127614975
18,ERMS,Spanish,80,40.0,120.0,164,0.28277668356895447,0.6742897033691406,0.8441828359838612,0.38030263781547546,0.23921670019626617,0.2800036370754242
18,ERMS,Spanish,160,40.0,200.0,164,0.20336312055587769,0.42924243211746216,0.8848450113482335,0.27746057510375977,0.17424993216991425,0.19668620824813843
18,ERMS,Spanish,320,40.0,360.0,164,0.16869665682315826,0.3825768530368805,0.8989501569220562,0.24610432982444763,0.1404160112142563,0.15927356481552124
18,ERMS,Spanish,640,40.0,680.0,164,0.12227676063776016,0.2544243633747101,0.9271369296961265,0.22278955578804016,0.10167855024337769,0.09153827279806137
19,ABA,Arabic,0,40.0,40.0,201,0.5282204151153564,0.7889608144760132,0.7630966390008456,0.5179990530014038,0.5455050468444824,0.5179007649421692
19,ABA,Arabic,20,40.0,60.0,201,0.46237456798553467,0.7482873797416687,0.7877271248855847,0.45225125551223755,0.4712618887424469,0.4593324363231659
